id,date_time,feedback,performance,trip_number,age,gender,income,state
24,2024-01-30T10:04:00Z,1,18,3,59,0,85523,South Carolina
38,2024-01-16T13:14:00Z,0,87,2,45,0,73607,North Dakota
35,2024-01-24T22:00:00Z,0,95,1,40,0,87781,Nevada
24,2024-01-26T23:59:00Z,1,66,4,59,0,85523,South Carolina
40,2024-01-23T07:52:00Z,1,0,3,33,0,80516,Tennessee
32,2024-01-23T21:10:00Z,0,89,1,31,1,68102,Montana
33,2024-01-26T16:53:00Z,0,72,1,27,0,92559,New Mexico
20,2024-01-16T18:07:00Z,1,9,4,51,1,65746,New Hampshire
13,2024-01-16T20:06:00Z,1,18,1,39,1,37496,Tennessee
48,2024-01-25T17:15:00Z,1,28,4,42,1,96762,California
19,2024-01-17T00:56:00Z,0,79,5,31,1,36797,Colorado
2,2024-01-06T21:25:00Z,0,82,2,33,0,92124,Vermont
40,2024-01-05T08:58:00Z,1,65,4,33,0,80516,Tennessee
43,2024-01-11T15:25:00Z,1,10,3,56,0,38842,Mississippi
22,2024-01-23T03:35:00Z,0,100,3,29,1,75649,Alaska
3,2024-01-09T15:28:00Z,1,59,3,23,0,46385,Kansas
48,2024-01-19T16:02:00Z,1,48,5,42,1,96762,California
48,2024-01-22T11:34:00Z,0,61,6,42,1,96762,California
14,2024-01-03T07:51:00Z,1,42,3,44,0,63615,Idaho
20,2024-01-06T05:41:00Z,1,4,5,51,1,65746,New Hampshire
28,2024-01-23T15:06:00Z,0,64,1,44,1,86118,Kentucky
22,2024-01-21T02:31:00Z,1,10,4,29,1,75649,Alaska
50,2024-01-17T01:15:00Z,0,65,7,42,1,59292,Nebraska
24,2024-01-06T08:49:00Z,1,37,5,59,0,85523,South Carolina
26,2024-01-26T20:13:00Z,0,90,1,24,1,96667,Kentucky
30,2024-01-10T14:17:00Z,1,80,4,25,1,66548,Ohio
34,2024-01-14T11:41:00Z,1,72,4,43,0,64774,Illinois
44,2024-01-09T19:54:00Z,1,24,2,40,0,33301,Tennessee
35,2024-01-22T06:31:00Z,0,56,2,40,0,87781,Nevada
32,2024-01-09T23:14:00Z,0,74,2,31,1,68102,Montana
29,2024-01-05T12:56:00Z,1,31,1,53,0,64899,Nevada
32,2024-01-15T20:26:00Z,0,100,3,31,1,68102,Montana
41,2024-01-11T04:56:00Z,0,92,3,45,0,93206,Vermont
16,2024-01-03T09:51:00Z,1,1,1,58,1,96946,Nevada
50,2024-01-22T22:51:00Z,0,47,8,42,1,59292,Nebraska
44,2024-01-16T17:45:00Z,1,50,3,40,0,33301,Tennessee
37,2024-01-24T21:54:00Z,1,68,1,19,1,40106,Kentucky
30,2024-01-16T06:53:00Z,1,20,5,25,1,66548,Ohio
39,2024-01-05T02:25:00Z,1,66,1,38,1,86191,Ohio
24,2024-01-19T09:24:00Z,1,43,6,59,0,85523,South Carolina
11,2024-01-24T17:05:00Z,1,14,4,50,0,92321,Pennsylvania
31,2024-01-29T07:57:00Z,0,42,3,36,0,93546,Kentucky
36,2024-01-28T11:13:00Z,0,65,2,32,0,63569,New York
28,2024-01-19T10:21:00Z,0,86,2,44,1,86118,Kentucky
35,2024-01-25T14:30:00Z,0,65,3,40,0,87781,Nevada
6,2024-01-12T05:50:00Z,0,47,2,41,0,65944,Montana
33,2024-01-12T11:29:00Z,1,13,2,27,0,92559,New Mexico
43,2024-01-13T11:38:00Z,0,43,4,56,0,38842,Mississippi
42,2024-01-21T13:48:00Z,1,53,3,53,1,54838,New Hampshire
23,2024-01-29T05:03:00Z,0,43,2,40,0,73639,California
19,2024-01-14T03:28:00Z,0,98,6,31,1,36797,Colorado
18,2024-01-06T07:16:00Z,0,51,1,19,0,73674,Missouri
50,2024-01-19T17:16:00Z,1,71,9,42,1,59292,Nebraska
49,2024-01-26T00:16:00Z,0,64,2,48,1,79221,South Carolina
43,2024-01-08T09:40:00Z,1,20,5,56,0,38842,Mississippi
1,2024-01-14T15:41:00Z,1,58,1,53,1,88473,Rhode Island
15,2024-01-11T21:38:00Z,0,73,2,54,0,90068,Kentucky
40,2024-01-18T20:29:00Z,1,70,5,33,0,80516,Tennessee
35,2024-01-02T01:07:00Z,1,24,4,40,0,87781,Nevada
20,2024-01-06T21:21:00Z,1,17,6,51,1,65746,New Hampshire
31,2024-01-21T20:37:00Z,1,51,4,36,0,93546,Kentucky
3,2024-01-04T20:44:00Z,0,80,4,23,0,46385,Kansas
5,2024-01-19T21:32:00Z,1,57,4,56,0,91599,Pennsylvania
4,2024-01-10T20:59:00Z,1,4,4,60,1,45192,Idaho
20,2024-01-23T13:00:00Z,0,65,7,51,1,65746,New Hampshire
24,2024-01-05T16:31:00Z,0,78,7,59,0,85523,South Carolina
25,2024-01-25T23:24:00Z,0,98,2,19,0,84167,Minnesota
9,2024-01-11T16:14:00Z,0,90,3,49,1,53991,New York
46,2024-01-05T10:18:00Z,1,5,2,19,0,96357,Utah
15,2024-01-01T01:31:00Z,0,52,3,54,0,90068,Kentucky
10,2024-01-15T08:34:00Z,1,47,5,47,0,41808,Nebraska
49,2024-01-02T08:01:00Z,1,18,3,48,1,79221,South Carolina
25,2024-01-07T18:50:00Z,1,7,3,19,0,84167,Minnesota
12,2024-01-17T12:26:00Z,1,14,5,25,1,67387,North Dakota
16,2024-01-23T23:49:00Z,0,61,2,58,1,96946,Nevada
30,2024-01-22T15:22:00Z,0,56,6,25,1,66548,Ohio
30,2024-01-11T03:11:00Z,1,67,7,25,1,66548,Ohio
41,2024-01-14T13:30:00Z,0,52,4,45,0,93206,Vermont
20,2024-01-29T07:48:00Z,1,76,8,51,1,65746,New Hampshire
41,2024-01-18T04:54:00Z,0,98,5,45,0,93206,Vermont
17,2024-01-19T05:22:00Z,1,48,2,39,0,28567,North Dakota
6,2024-01-10T17:46:00Z,1,28,3,41,0,65944,Montana
39,2024-01-24T20:31:00Z,0,45,2,38,1,86191,Ohio
21,2024-01-05T13:31:00Z,1,58,5,28,1,33000,South Dakota
27,2024-01-26T02:17:00Z,1,51,1,36,1,24327,Indiana
19,2024-01-27T21:28:00Z,0,86,7,31,1,36797,Colorado
28,2024-01-12T07:59:00Z,1,55,3,44,1,86118,Kentucky
15,2024-01-23T08:32:00Z,0,78,4,54,0,90068,Kentucky
15,2024-01-28T13:50:00Z,0,52,5,54,0,90068,Kentucky
10,2024-01-04T12:16:00Z,0,64,6,47,0,41808,Nebraska
6,2024-01-01T04:50:00Z,0,71,4,41,0,65944,Montana
30,2024-01-27T14:59:00Z,0,57,8,25,1,66548,Ohio
30,2024-01-12T17:00:00Z,1,26,9,25,1,66548,Ohio
42,2024-01-10T18:12:00Z,0,41,4,53,1,54838,New Hampshire
31,2024-01-09T10:41:00Z,0,86,5,36,0,93546,Kentucky
20,2024-01-16T17:39:00Z,1,65,9,51,1,65746,New Hampshire
48,2024-01-21T19:33:00Z,0,40,7,42,1,96762,California
44,2024-01-06T17:06:00Z,1,62,4,40,0,33301,Tennessee
36,2024-01-17T09:24:00Z,1,77,3,32,0,63569,New York
41,2024-01-01T00:51:00Z,0,74,6,45,0,93206,Vermont
49,2024-01-17T01:16:00Z,1,57,4,48,1,79221,South Carolina
4,2024-01-04T04:45:00Z,0,61,5,60,1,45192,Idaho
44,2024-01-30T00:05:00Z,1,30,5,40,0,33301,Tennessee
31,2024-01-10T11:06:00Z,1,54,6,36,0,93546,Kentucky
26,2024-01-01T16:16:00Z,1,9,2,24,1,96667,Kentucky
17,2024-01-08T14:31:00Z,1,17,3,39,0,28567,North Dakota
35,2024-01-29T01:47:00Z,0,98,5,40,0,87781,Nevada
46,2024-01-15T04:46:00Z,0,55,3,19,0,96357,Utah
36,2024-01-19T03:43:00Z,0,79,4,32,0,63569,New York
43,2024-01-07T05:13:00Z,1,42,6,56,0,38842,Mississippi
21,2024-01-11T21:44:00Z,1,5,6,28,1,33000,South Dakota
18,2024-01-09T05:38:00Z,1,3,2,19,0,73674,Missouri
34,2024-01-11T05:31:00Z,0,60,5,43,0,64774,Illinois
37,2024-01-19T21:29:00Z,1,46,2,19,1,40106,Kentucky
1,2024-01-22T18:21:00Z,1,57,2,53,1,88473,Rhode Island
24,2024-01-25T01:11:00Z,1,74,8,59,0,85523,South Carolina
45,2024-01-05T04:59:00Z,1,27,1,23,0,61389,Georgia
33,2024-01-03T19:29:00Z,1,66,3,27,0,92559,New Mexico
25,2024-01-23T05:53:00Z,0,64,4,19,0,84167,Minnesota
25,2024-01-04T15:34:00Z,0,82,5,19,0,84167,Minnesota
2,2024-01-23T15:26:00Z,0,92,3,33,0,92124,Vermont
26,2024-01-26T18:16:00Z,0,100,3,24,1,96667,Kentucky
39,2024-01-09T08:52:00Z,1,10,3,38,1,86191,Ohio
4,2024-01-17T01:55:00Z,1,13,6,60,1,45192,Idaho
34,2024-01-05T03:44:00Z,1,5,6,43,0,64774,Illinois
14,2024-01-16T05:23:00Z,0,66,4,44,0,63615,Idaho
22,2024-01-10T17:28:00Z,0,66,5,29,1,75649,Alaska
45,2024-01-09T15:17:00Z,1,41,2,23,0,61389,Georgia
48,2024-01-13T01:13:00Z,0,66,8,42,1,96762,California
31,2024-01-11T17:14:00Z,1,24,7,36,0,93546,Kentucky
13,2024-01-29T10:04:00Z,1,59,2,39,1,37496,Tennessee
33,2024-01-20T06:16:00Z,1,2,4,27,0,92559,New Mexico
31,2024-01-17T17:29:00Z,1,62,8,36,0,93546,Kentucky
44,2024-01-14T10:04:00Z,1,78,6,40,0,33301,Tennessee
7,2024-01-01T05:01:00Z,1,15,2,46,1,61969,California
4,2024-01-16T15:50:00Z,0,52,7,60,1,45192,Idaho
20,2024-01-30T00:34:00Z,1,28,10,51,1,65746,New Hampshire
19,2024-01-13T18:52:00Z,0,64,8,31,1,36797,Colorado
36,2024-01-02T12:03:00Z,0,99,5,32,0,63569,New York
24,2024-01-04T19:20:00Z,1,0,9,59,0,85523,South Carolina
44,2024-01-05T02:26:00Z,1,80,7,40,0,33301,Tennessee
37,2024-01-08T13:53:00Z,1,25,3,19,1,40106,Kentucky
5,2024-01-25T11:26:00Z,0,72,5,56,0,91599,Pennsylvania
17,2024-01-15T09:49:00Z,0,87,4,39,0,28567,North Dakota
12,2024-01-19T04:01:00Z,1,25,6,25,1,67387,North Dakota
25,2024-01-15T01:10:00Z,0,94,6,19,0,84167,Minnesota
36,2024-01-18T13:10:00Z,1,67,6,32,0,63569,New York
26,2024-01-27T21:43:00Z,0,40,4,24,1,96667,Kentucky
50,2024-01-30T04:21:00Z,1,59,10,42,1,59292,Nebraska
9,2024-01-24T10:38:00Z,0,55,4,49,1,53991,New York
37,2024-01-06T06:54:00Z,0,66,4,19,1,40106,Kentucky
45,2024-01-14T17:58:00Z,0,91,3,23,0,61389,Georgia
40,2024-01-08T20:12:00Z,1,25,6,33,0,80516,Tennessee
43,2024-01-14T14:56:00Z,0,49,7,56,0,38842,Mississippi
29,2024-01-23T00:24:00Z,1,58,2,53,0,64899,Nevada
33,2024-01-02T05:31:00Z,1,34,5,27,0,92559,New Mexico
18,2024-01-01T02:45:00Z,0,87,3,19,0,73674,Missouri
48,2024-01-07T03:00:00Z,0,79,9,42,1,96762,California
17,2024-01-12T23:53:00Z,1,2,5,39,0,28567,North Dakota
33,2024-01-27T05:09:00Z,0,50,6,27,0,92559,New Mexico
40,2024-01-08T12:00:00Z,0,94,7,33,0,80516,Tennessee
21,2024-01-04T10:57:00Z,0,57,7,28,1,33000,South Dakota
11,2024-01-24T23:43:00Z,0,92,5,50,0,92321,Pennsylvania
43,2024-01-04T00:00:00Z,0,76,8,56,0,38842,Mississippi
10,2024-01-05T22:02:00Z,0,75,7,47,0,41808,Nebraska
5,2024-01-10T18:28:00Z,0,44,6,56,0,91599,Pennsylvania
38,2024-01-26T11:03:00Z,1,60,3,45,0,73607,North Dakota
25,2024-01-10T17:08:00Z,0,83,7,19,0,84167,Minnesota
43,2024-01-18T00:22:00Z,0,51,9,56,0,38842,Mississippi
45,2024-01-24T10:02:00Z,1,67,4,23,0,61389,Georgia
41,2024-01-03T10:43:00Z,0,97,7,45,0,93206,Vermont
50,2024-01-20T17:33:00Z,1,48,11,42,1,59292,Nebraska
21,2024-01-01T11:01:00Z,1,58,8,28,1,33000,South Dakota
23,2024-01-25T15:25:00Z,0,98,3,40,0,73639,California
22,2024-01-03T16:24:00Z,0,50,6,29,1,75649,Alaska
34,2024-01-06T04:21:00Z,0,65,7,43,0,64774,Illinois
37,2024-01-15T07:56:00Z,0,97,5,19,1,40106,Kentucky
43,2024-01-09T08:27:00Z,0,40,10,56,0,38842,Mississippi
46,2024-01-17T22:56:00Z,0,79,4,19,0,96357,Utah
12,2024-01-02T12:15:00Z,0,87,7,25,1,67387,North Dakota
48,2024-01-16T03:28:00Z,1,25,10,42,1,96762,California
3,2024-01-28T04:34:00Z,0,59,5,23,0,46385,Kansas
11,2024-01-21T16:42:00Z,0,98,6,50,0,92321,Pennsylvania
18,2024-01-20T13:12:00Z,0,92,4,19,0,73674,Missouri
39,2024-01-13T08:05:00Z,0,61,4,38,1,86191,Ohio
9,2024-01-19T03:06:00Z,1,58,5,49,1,53991,New York
23,2024-01-20T17:30:00Z,0,78,4,40,0,73639,California
8,2024-01-05T15:40:00Z,0,50,1,44,0,24598,Montana
49,2024-01-07T17:49:00Z,0,48,5,48,1,79221,South Carolina
18,2024-01-10T12:10:00Z,1,41,5,19,0,73674,Missouri
38,2024-01-24T19:48:00Z,1,57,4,45,0,73607,North Dakota
16,2024-01-13T04:17:00Z,1,35,3,58,1,96946,Nevada
13,2024-01-05T06:51:00Z,1,10,3,39,1,37496,Tennessee
6,2024-01-16T06:35:00Z,0,71,5,41,0,65944,Montana
26,2024-01-07T05:33:00Z,0,41,5,24,1,96667,Kentucky
11,2024-01-20T19:50:00Z,0,83,7,50,0,92321,Pennsylvania
14,2024-01-02T07:55:00Z,1,67,5,44,0,63615,Idaho
37,2024-01-16T03:05:00Z,1,7,6,19,1,40106,Kentucky
31,2024-01-14T23:43:00Z,0,70,9,36,0,93546,Kentucky
5,2024-01-12T09:29:00Z,1,8,7,56,0,91599,Pennsylvania
4,2024-01-30T14:53:00Z,1,79,8,60,1,45192,Idaho
19,2024-01-16T16:55:00Z,0,97,9,31,1,36797,Colorado
30,2024-01-13T20:15:00Z,0,92,10,25,1,66548,Ohio
45,2024-01-14T15:05:00Z,0,93,5,23,0,61389,Georgia
40,2024-01-29T12:15:00Z,0,66,8,33,0,80516,Tennessee
45,2024-01-21T10:32:00Z,0,95,6,23,0,61389,Georgia
14,2024-01-16T06:17:00Z,0,91,6,44,0,63615,Idaho
44,2024-01-22T00:06:00Z,1,17,8,40,0,33301,Tennessee
8,2024-01-17T09:39:00Z,0,65,2,44,0,24598,Montana
30,2024-01-16T10:21:00Z,0,80,11,25,1,66548,Ohio
13,2024-01-03T14:43:00Z,1,40,4,39,1,37496,Tennessee
25,2024-01-11T21:30:00Z,0,82,8,19,0,84167,Minnesota
5,2024-01-04T02:13:00Z,0,71,8,56,0,91599,Pennsylvania
32,2024-01-08T04:18:00Z,1,65,4,31,1,68102,Montana
3,2024-01-09T17:52:00Z,1,54,6,23,0,46385,Kansas
30,2024-01-10T07:20:00Z,1,57,12,25,1,66548,Ohio
6,2024-01-13T20:11:00Z,1,61,6,41,0,65944,Montana
28,2024-01-20T04:31:00Z,1,47,4,44,1,86118,Kentucky
4,2024-01-22T01:24:00Z,1,80,9,60,1,45192,Idaho
18,2024-01-04T13:53:00Z,1,49,6,19,0,73674,Missouri
28,2024-01-22T08:49:00Z,0,68,5,44,1,86118,Kentucky
2,2024-01-13T01:01:00Z,1,51,4,33,0,92124,Vermont
31,2024-01-24T23:55:00Z,1,35,10,36,0,93546,Kentucky
14,2024-01-07T06:21:00Z,1,34,7,44,0,63615,Idaho
7,2024-01-03T14:18:00Z,0,43,3,46,1,61969,California
22,2024-01-08T20:38:00Z,0,99,7,29,1,75649,Alaska
24,2024-01-05T03:40:00Z,1,66,10,59,0,85523,South Carolina
2,2024-01-15T01:15:00Z,0,47,5,33,0,92124,Vermont
5,2024-01-05T23:27:00Z,0,83,9,56,0,91599,Pennsylvania
48,2024-01-22T20:02:00Z,0,47,11,42,1,96762,California
5,2024-01-28T06:30:00Z,0,82,10,56,0,91599,Pennsylvania
8,2024-01-27T17:28:00Z,0,99,3,44,0,24598,Montana
7,2024-01-16T05:30:00Z,0,45,4,46,1,61969,California
29,2024-01-24T19:05:00Z,0,91,3,53,0,64899,Nevada
24,2024-01-13T08:35:00Z,1,75,11,59,0,85523,South Carolina
21,2024-01-17T17:07:00Z,0,47,9,28,1,33000,South Dakota
45,2024-01-28T01:29:00Z,0,47,7,23,0,61389,Georgia
39,2024-01-26T14:54:00Z,1,66,5,38,1,86191,Ohio
29,2024-01-30T07:15:00Z,1,59,4,53,0,64899,Nevada
23,2024-01-26T13:09:00Z,0,81,5,40,0,73639,California
40,2024-01-19T18:59:00Z,1,45,9,33,0,80516,Tennessee
24,2024-01-06T05:24:00Z,0,80,12,59,0,85523,South Carolina
3,2024-01-27T23:39:00Z,1,77,7,23,0,46385,Kansas
12,2024-01-05T10:40:00Z,0,91,8,25,1,67387,North Dakota
8,2024-01-16T18:42:00Z,0,100,4,44,0,24598,Montana
14,2024-01-15T18:40:00Z,0,75,8,44,0,63615,Idaho
43,2024-01-30T04:01:00Z,0,79,11,56,0,38842,Mississippi
19,2024-01-02T14:53:00Z,1,51,10,31,1,36797,Colorado
2,2024-01-22T09:55:00Z,1,8,6,33,0,92124,Vermont
48,2024-01-30T04:09:00Z,1,69,12,42,1,96762,California
8,2024-01-20T00:00:00Z,0,45,5,44,0,24598,Montana
43,2024-01-21T15:40:00Z,1,13,12,56,0,38842,Mississippi
13,2024-01-26T05:34:00Z,0,78,5,39,1,37496,Tennessee
20,2024-01-25T06:11:00Z,1,3,11,51,1,65746,New Hampshire
12,2024-01-26T13:43:00Z,0,81,9,25,1,67387,North Dakota
6,2024-01-22T17:41:00Z,1,47,7,41,0,65944,Montana
31,2024-01-06T21:10:00Z,0,62,11,36,0,93546,Kentucky
1,2024-01-05T13:17:00Z,1,70,3,53,1,88473,Rhode Island
10,2024-01-14T12:36:00Z,0,54,8,47,0,41808,Nebraska
22,2024-01-29T16:30:00Z,0,56,8,29,1,75649,Alaska
13,2024-01-29T20:41:00Z,0,61,6,39,1,37496,Tennessee
12,2024-01-20T03:32:00Z,0,78,10,25,1,67387,North Dakota
45,2024-01-28T06:57:00Z,0,80,8,23,0,61389,Georgia
10,2024-01-14T23:18:00Z,0,63,9,47,0,41808,Nebraska
43,2024-01-29T05:57:00Z,1,32,13,56,0,38842,Mississippi
11,2024-01-21T07:49:00Z,0,60,8,50,0,92321,Pennsylvania
35,2024-01-25T10:23:00Z,1,63,6,40,0,87781,Nevada
43,2024-01-27T14:16:00Z,1,7,14,56,0,38842,Mississippi
2,2024-01-16T20:49:00Z,0,49,7,33,0,92124,Vermont
35,2024-01-25T00:15:00Z,0,59,7,40,0,87781,Nevada
26,2024-01-16T00:40:00Z,0,88,6,24,1,96667,Kentucky
3,2024-01-02T09:04:00Z,1,76,8,23,0,46385,Kansas
18,2024-01-22T04:34:00Z,1,51,7,19,0,73674,Missouri
37,2024-01-09T13:34:00Z,0,63,7,19,1,40106,Kentucky
3,2024-01-30T05:31:00Z,0,50,9,23,0,46385,Kansas
9,2024-01-14T09:40:00Z,0,47,6,49,1,53991,New York
1,2024-01-05T12:02:00Z,0,61,4,53,1,88473,Rhode Island
13,2024-01-05T19:26:00Z,0,64,7,39,1,37496,Tennessee
19,2024-01-26T15:27:00Z,1,69,11,31,1,36797,Colorado
2,2024-01-22T12:18:00Z,1,35,8,33,0,92124,Vermont
50,2024-01-20T16:47:00Z,1,8,12,42,1,59292,Nebraska
36,2024-01-05T17:08:00Z,1,63,7,32,0,63569,New York
16,2024-01-10T09:53:00Z,0,98,4,58,1,96946,Nevada
29,2024-01-26T09:32:00Z,1,15,5,53,0,64899,Nevada
33,2024-01-13T23:59:00Z,1,80,7,27,0,92559,New Mexico
12,2024-01-02T23:11:00Z,0,77,11,25,1,67387,North Dakota
29,2024-01-25T06:39:00Z,0,72,6,53,0,64899,Nevada
16,2024-01-28T13:58:00Z,1,11,5,58,1,96946,Nevada
7,2024-01-22T19:08:00Z,1,35,5,46,1,61969,California
32,2024-01-18T14:03:00Z,1,6,5,31,1,68102,Montana
1,2024-01-30T11:58:00Z,1,28,5,53,1,88473,Rhode Island
1,2024-01-28T13:12:00Z,1,53,6,53,1,88473,Rhode Island
38,2024-01-29T10:56:00Z,1,36,5,45,0,73607,North Dakota
33,2024-01-10T15:36:00Z,1,55,8,27,0,92559,New Mexico
43,2024-01-21T05:35:00Z,1,22,15,56,0,38842,Mississippi
42,2024-01-04T12:35:00Z,0,98,5,53,1,54838,New Hampshire
12,2024-01-13T08:48:00Z,0,88,12,25,1,67387,North Dakota
41,2024-01-21T20:59:00Z,1,42,8,45,0,93206,Vermont
17,2024-01-19T12:09:00Z,0,59,6,39,0,28567,North Dakota
40,2024-01-05T08:10:00Z,0,88,10,33,0,80516,Tennessee
19,2024-01-29T14:19:00Z,1,68,12,31,1,36797,Colorado
25,2024-01-26T11:18:00Z,0,50,9,19,0,84167,Minnesota
24,2024-01-17T02:00:00Z,1,70,13,59,0,85523,South Carolina
50,2024-01-28T06:01:00Z,0,50,13,42,1,59292,Nebraska
8,2024-01-24T21:44:00Z,1,54,6,44,0,24598,Montana
4,2024-01-03T09:55:00Z,0,41,10,60,1,45192,Idaho
14,2024-01-09T16:02:00Z,1,35,9,44,0,63615,Idaho
12,2024-01-27T07:22:00Z,0,83,13,25,1,67387,North Dakota
7,2024-01-17T09:20:00Z,1,66,6,46,1,61969,California
19,2024-01-19T19:34:00Z,1,34,13,31,1,36797,Colorado
30,2024-01-21T21:27:00Z,0,93,13,25,1,66548,Ohio
26,2024-01-04T23:22:00Z,1,71,7,24,1,96667,Kentucky
41,2024-01-12T11:44:00Z,1,36,9,45,0,93206,Vermont
30,2024-01-13T05:22:00Z,1,42,14,25,1,66548,Ohio
3,2024-01-16T18:53:00Z,0,83,10,23,0,46385,Kansas
43,2024-01-29T22:19:00Z,1,15,16,56,0,38842,Mississippi
1,2024-01-12T16:23:00Z,0,78,7,53,1,88473,Rhode Island
